Shochiku, 1462
Victor Entertainment, 1462
Kodansha, 1462
Tezuka Productions, 1466
Sony Music Entertainment, 1466
Image Kei, 1466
Toho, 1468
Shueisha, 1468
Aniplex, 1470
Konami, 1480
TV Tokyo, 1482
Aniplex, 1482
Dentsu, 1482
Half H.P Studio, 1482
Sony Music Entertainment, 1482
Studio Jack, 1482
Animate Film, 1484
TV Tokyo, 1486
Nihon Ad Systems, 1486
Pony Canyon, 1486
Ginga Ya, 1490
Studio Kyuuma, 1490
Trilogy Future Studio, 1490
Akita Shoten, 1494
Toshiba Entertainment, 1498
Happinet Pictures, 1498
Bandai Visual, 1500
APPP, 1502
Pioneer LDC, 1502
Studio Tulip, 1502
Big West, 1504
TV Asahi, 1508
Nagoya TV Housou, 1508
Green Bunny, 1510
NuTech Digital, 1512
Media Factory, 1514
KlockWorx, 1514
Toshiba Entertainment, 1514
Shogakukan Productions, 1516
Viz Media, 1516
G&amp;G Entertainment, 1516
MediaNet, 1516
Sony Music Entertainment, 1516
Animax, 1520
Akita Shoten, 1520
Tohokushinsha Film Corporation, 1524
Shogakukan Productions, 1526
Studio Jack, 1526
Tokyo Kids, 1528
Victor Entertainment, 1528
Pony Canyon, 1530
TBS, 1530
Movic, 1530
Bandai Visual, 1532
Lantis, 1532
Movic, 1532
Asahi Broadcasting, 1534
Geneon Universal Entertainment, 1536
Yomiko Advertising, 1536
Shueisha, 1536
GDH, 1538
Sotsu Music Publishing, 1538
VAP, 1540
Group TAC, 1540
Studio Jack, 1540
Bandai Visual, 1542
WOWOW, 1542
Bandai Visual, 1544
GANSIS, 1546
Fuji TV, 1548
Fuji TV, 1550
Group TAC, 1552
Bandai Visual, 1554
Lantis, 1554
TBS, 1554
Mag Garden, 1554
Bandai Visual, 1556
AIC, 1558
Green Bunny, 1558
GAGA, 1560
TV Tokyo, 1564
Shogakukan Productions, 1564
TV Tokyo Music, 1564
Studio Jack, 1564
TV Asahi, 1568
Square Enix, 1568
Lantis, 1568
Movic, 1568
Delfi Sound, 1570
Nihon Ad Systems, 1574
Bandai Visual, 1576
Lantis, 1578
Media Factory, 1578
Koei, 1578
Bandai Visual, 1580
Aniplex, 1582
Group TAC, 1582
Sony Music Entertainment, 1582
Bandai Visual, 1584
Kodansha, 1592
Fuji TV, 1592
Sony Music Entertainment, 1592
Aniplex, 1594
SKY Perfect Well Think, 1594
Bandai Visual, 1596
Lantis, 1596
Artmic, 1598
Tokyo Kids, 1598
Bandai Visual, 1600
Lantis, 1600
Broccoli, 1600
Sunny Side Up, 1600
Happinet Pictures, 1602
TV Tokyo, 1604
Dentsu, 1604
Marvelous, 1604
Pony Canyon, 1604
d-rights, 1604
Yomiuri Telecasting, 1606
Tohokushinsha Film Corporation, 1606
Bandai Visual, 1608
TBS, 1608
81 Produce, 1608
Shueisha, 1608
TV Tokyo, 1614
